params_index, n_variables, n_total_environments, sparsity, sample_size, dag_density, reps, data_simulator, dag_simulator, Method, Soft, Number of environments, Rep, Number of possible DAGs, MEC size, Total edges, True orientation rate, False orientation rate
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 0, 2, 3, 2, 0.5, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 0, 1, 3, 2, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 0, 1, 3, 2, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 0, 1, 3, 2, 0.5, 0.5
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 0, 1, 3, 2, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 0, 1, 3, 2, 0.5, 0.5
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 0, 2, 3, 2, 0.5, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 0, 1, 3, 2, 0.5, 0.5
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 0, 2, 3, 2, 0.5, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 0, 1, 3, 2, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 0, 1, 3, 2, 0.5, 0.5
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 0, 1, 3, 2, 0.5, 0.5
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 0, 1, 3, 2, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 0, 3, 3, 2, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 0, 1, 3, 2, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 0, 2, 3, 2, 0.5, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 0, 1, 3, 2, 0.5, 0.5
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 0, 2, 3, 2, 0.5, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 1, 2, 4, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 1, 2, 4, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 1, 1, 4, 5, 0.8, 0.2
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 1, 1, 4, 5, 0.8, 0.2
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 1, 3, 4, 5, 0.6, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 1, 1, 4, 5, 0.8, 0.2
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 1, 1, 4, 5, 0.8, 0.2
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 1, 1, 4, 5, 0.6, 0.4
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 1, 4, 4, 5, 0.4, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 1, 3, 4, 5, 0.6, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 1, 1, 4, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 2, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 2, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 2, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 3, 2, 2, 5, 0.8, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 3, 1, 2, 5, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 4, 6, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 4, 6, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 4, 6, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 4, 6, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 4, 6, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 4, 1, 10, 9, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 4, 1, 10, 9, 0.8888888888888888, 0.1111111111111111
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 4, 3, 10, 9, 0.7777777777777778, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 4, 2, 10, 9, 0.5555555555555556, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 4, 3, 10, 9, 0.7777777777777778, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 4, 1, 10, 9, 0.8888888888888888, 0.1111111111111111
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 4, 2, 10, 9, 0.8888888888888888, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 4, 2, 10, 9, 0.7777777777777778, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 4, 2, 10, 9, 0.8888888888888888, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 4, 1, 10, 9, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 4, 10, 10, 9, 0.4444444444444444, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 4, 1, 10, 9, 0.8888888888888888, 0.1111111111111111
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 4, 4, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 4, 1, 10, 9, 0.8888888888888888, 0.1111111111111111
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 4, 4, 10, 9, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 4, 1, 10, 9, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 4, 2, 10, 9, 0.8888888888888888, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 4, 1, 10, 9, 0.8888888888888888, 0.1111111111111111
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 4, 2, 10, 9, 0.8888888888888888, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 5, 1, 4, 3, 0.3333333333333333, 0.6666666666666666
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 5, 2, 4, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 5, 1, 4, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 5, 1, 4, 3, 0.3333333333333333, 0.6666666666666666
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 5, 4, 4, 3, 0.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 5, 1, 4, 3, 0.3333333333333333, 0.6666666666666666
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 5, 1, 4, 3, 0.3333333333333333, 0.6666666666666666
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 5, 2, 4, 3, 0.3333333333333333, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 5, 1, 4, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 5, 5, 1, 4, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 1, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 1, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 2, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 2, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 3, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 3, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 4, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 4, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, PC (pool all), False, 5, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (oracle), False, 5, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 1, 6, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 1, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 2, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 2, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 3, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 3, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 4, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 4, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), True, 5, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (kci), False, 5, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 1, 6, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 1, 6, 2, 2, 3, 0.6666666666666666, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 2, 6, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 2, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 3, 6, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 3, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 4, 6, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), False, 4, 6, 1, 2, 3, 1.0, 0.0
14, 6, 5, 4, 500, 0.3, 20, cdnod, er, Min changes (linear), True, 5, 6, 1, 2, 3, 0.6666666666666666, 0.3333333333333333
